Sexo;Salario
M;140
F;30
F;35.1
M;30
F;80
F;30
M;60
F;31.1
M;125
M;51
M;3
M;46
M;150
M;3
M;130
F;15
M;130
F;84
M;190
M;74
F;73
F;10
F;50
F;7
F;9.5
M;15.2
M;28.6
F;20
F;72
M;81
F;100
F;90
F;90
M;35
F;30
M;25
F;52
F;9
M;63
M;72
M;16
F;92
M;106
M;2.5
F;9
F;32
F;32
M;55
M;52
F;28
F;20
F;14.7
M;22.3
F;34.8
F;84
M;19
M;160
F;65
F;55
M;4.6
M;102
M;20
F;62
M;55
M;45.6
F;40
F;24
M;35
F;48
F;20
F;40.7
M;15
F;0.25
M;152
F;39.8
F;12
M;30
M;120
M;1.7
M;36
M;96
F;38
M;90
M;9
F;25.8
F;22
F;38.8
M;72
M;89
F;41
M;89
F;25
M;52
F;115
F;66
M;18.6
M;152
M;1.8
F;35
F;4
